"date","DJI.INDX","GSPC.INDX","IXIC.INDX","VIX.INDX","SKEW.INDX","SX5E.INDX","UKX.INDX","N225.INDX","XUTD.LSE","XJSE.SW","IS0L.XETRA","MOVE.INDX","CL.COMM","XAUUSD.FOREX","HG.COMM","NG.COMM","KC.COMM","ZC.COMM","AUDUSD.FOREX","CADUSD.FOREX","CHFUSD.FOREX","EURUSD.FOREX","GBPUSD.FOREX","IUSP.SW","IUKP.LSE","IPRP.LSE","BTC-USD.CC","AAA10Y","T5YIFR","T10Y2Y","CNYUSD.FOREX","JPYUSD.FOREX"
2022-10-14,-403.889999999999,-86.8398000000002,-327.7608,0.0800000000000018,0,0.629867000000104,-99.4024530000006,3.09363600000003,-0.694999999999993,-0.123959999999999,-1.23084349999999,-2.19000000000003,0,-24.04,-0.0269999999999997,-0.287999999999999,-5.45000000000002,-8,-0.0102,0.00290000000000001,-0.00399999999999989,-0.00539999999999996,-0.0159,0.48,3.28098499999999,67.6616800000002,-197.247333306001,-0.02,0.0800000000000001,0.02,-0.000395626507213337,-6.96355974891226e-05
2022-10-17,550.989999999998,94.8798999999999,354.4102,-0.650000000000002,-0.849999999999994,99.182045,195.280041999999,-2.110299,0.759999999999991,0,2.20325799999999,-2.47,-2.79000000000001,8.18000000000006,-0.0170000000000003,-0.454000000000001,-1.14999999999998,-6.25,0.00939999999999996,-0.00490000000000002,-0.00230000000000008,0.0119,0.0183,0.365000000000002,25.968025,95.0719999999997,365.100599586,-0.01,0.04,0.05,-0.000106280128544467,-1.28558149867794e-05
2022-10-18,337.98,42.0300000000002,96.6005999999998,-0.870000000000001,-0.0900000000000034,26.6798839999997,-5.54614000000038,2.54834499999998,-0.840000000000003,0,0.0364470000000097,-4.63,2.73,1.88999999999987,-0.0459999999999998,-0.254,-0.450000000000017,-2.5,0.00190000000000001,0.00739999999999996,0.00819999999999999,0.00139999999999996,-0.00350000000000006,0.654999999999998,-5.50596999999999,24.34915,-216.342149929998,0.02,-0.02,0.01,-0.000108045715566135,-1.07878746109825e-05
2022-10-19,-99.989999999998,-24.8200999999999,-91.8906000000006,0.260000000000002,0.38000000000001,-20.8167119999998,-85.3185459999995,0.678308000000015,-0.599999999999994,0,-1.5802065,1.94,0.430000000000007,-23.3399999999999,0.0905,-0.283,-2.79999999999998,-2.75,-0.00390000000000001,-0.000699999999999923,0.00190000000000001,-0.0081,-0.0104,-0.669999999999998,-19.21555,-71.1664500000002,-194.880798594,0,-0.02,0.01,-0.000512844739304602,-2.79313099817904e-05
2022-10-20,-90.2200000000012,-29.3798999999999,-65.6700000000001,-0.780000000000001,0.149999999999991,25.3065509999997,34.4103169999998,-1.67781400000001,-0.634999999999991,0,-0.0513180000000091,7.88000000000002,-0.930000000000007,-0.829999999999927,0.0720000000000001,-0.104,-1.25,5.75,0.000500000000000056,-0.00240000000000007,-0.0112,0.00119999999999998,0.00190000000000001,-0.0199999999999996,9.58131499999996,35.9693750000001,-85.794110851999,-0.03,-0.00999999999999979,0.03,0.000230022525277818,-1.11074160440401e-05
2022-10-21,748.970000000001,86.9699999999998,244.8799,-0.289999999999999,-1.22,10.9020250000003,77.0947430000006,1.909312,-0.995000000000005,0,0.490814499999999,1.33999999999997,0,29,-0.0485000000000002,-0.399,-0.150000000000006,0.25,0.0102,-0.000299999999999967,0.001,0.00770000000000004,0.00690000000000013,-0.425000000000001,0.0463500000001318,-9.73857499999986,118.728976732,0.0999999999999999,-0.02,0.1,-0.000516478970863182,0.000112537446186832
2022-10-24,417.059999999998,44.5900999999999,92.8906999999999,0.16,-1.22,55.3826660000004,31.0848789999991,-2.12411399999999,-0.125,0,0.932738000000015,-2.92999999999998,0.269999999999996,-6.96000000000004,-0.024,0.24,-0.5,-2.75,-0.00650000000000006,0.00439999999999996,0.00439999999999996,0.00140000000000007,-0.00270000000000015,0.25,6.13337999999993,24.5209999999997,173.103131016,-0.01,0.11,0.03,-0.00036493770245416,-6.00084458477956e-05
2022-10-25,337.120000000003,61.77,246.509700000001,-1.39,-0.329999999999998,89.3320659999995,134.083791000001,4.57007399999998,1.69999999999999,0,2.54350599999999,-6.24000000000001,2.59,3.51999999999998,0.179,0.414000000000001,-4.59999999999999,4.75,0.00819999999999999,0.00420000000000009,0.00480000000000014,0.0089999999999999,0.0192000000000001,0.734999999999999,33.22142,130.0602,750.284107161999,0.04,-0.0600000000000001,-0.07,-0.000121217511258959,4.71898947967649e-05
2022-10-26,2.36999999999898,-28.5099999999998,-228.1299,-1.18,-0.780000000000001,60.3989750000005,161.735073,1.23460800000001,0.77000000000001,0,1.68968750000001,-7.58000000000001,1.17,11.55,-0.004,-0.00700000000000056,-6.05000000000001,-1.25,0.0103000000000001,0.00349999999999995,0.00980000000000003,0.0113000000000001,0.016,0.41,6.50397999999996,21.1435999999999,674.584816181999,-0.03,-0.0800000000000001,-0.03,0.00184874765622808,7.25089271449708e-05
2022-10-27,194.169999999998,-23.3000999999999,-178.320299999999,0.109999999999999,-0.629999999999995,-42.2580250000001,-24.0774729999994,-0.588879999999989,1,0,-0.169954500000003,2.58000000000001,-1.17999999999999,-1.82999999999993,-0.1595,-0.42,-0.900000000000006,-2.75,-0.00480000000000003,-0.000700000000000034,-0.00550000000000006,-0.0115000000000001,-0.00629999999999997,-0.0549999999999997,5.06058000000007,42.3419500000005,-484.604495927,0,0.0100000000000002,0.00999999999999995,-0.00107996323573722,3.73639647662481e-06
